Job Title,Company Name,Location
Business Associate (Business Analyst),Swiggy,"Bengaluru, Karnataka, India"
Business Analyst,KPMG India,"Mumbai, Maharashtra, India"
Data Analyst - Supply Chain [T500-13476],Delta Air Lines,"Bengaluru, Karnataka, India"
Analyst,NAB,"Gurugram, Haryana, India"
Business Analyst,Tech Mahindra,"Navi Mumbai, Maharashtra, India"
Data Analyst,Flexi Analyst,India
Business Analyst,Tata Consultancy Services,"Bengaluru, Karnataka, India"
Operations Analyst,Flexi Analyst,India
Marketing Business Analyst,Kotak Mahindra Bank,"Mumbai, Maharashtra, India"
Data Analyst - Supply Chain [T500-13650],Delta Air Lines,"Bengaluru, Karnataka, India"
Business Analyst,Schbang,"Mumbai, Maharashtra, India"
Data Analyst,EXL,"Gurugram, Haryana, India"
Analyst-Data Analysis,Tesco Bengaluru,"Bengaluru, Karnataka, India"
Analyst,Wipro,"Gurugram, Haryana, India"
"Business Analyst, noon food",noon,"Gurugram, Haryana, India"
Analyst,Wipro,"Gurugram, Haryana, India"
Risk Analyst,Ring,"Mumbai, Maharashtra, India"
Business Analyst,Virtusa,"Bangalore Urban, Karnataka, India"
"Analyst, Private Equity Asia, India",CPP Investments | Investissements RPC,Mumbai Metropolitan Region
Business Intelligence Analyst,upGrad,"Bangalore Urban, Karnataka, India"
Associate Data Analyst,Playo,"Bengaluru, Karnataka, India"
Analyst,Wipro,Mumbai Metropolitan Region
Associate,PwC India,"Mumbai, Maharashtra, India"
Analyst,Wipro,"Bengaluru, Karnataka, India"
Business Analyst,Curefit - house of cult,"Bengaluru, Karnataka, India"
Data Analyst,LTIMindtree,"Hyderabad, Telangana, India"
Associate,PwC India,"Bengaluru, Karnataka, India"
Financial Analyst,Tata Consultancy Services,"Kolkata, West Bengal, India"
Senior Business Analyst,intive,India
Staff Infrastructure Business Operations Analyst,LinkedIn,"Bengaluru, Karnataka, India"
Business Analyst - Order to Cash,Deloitte,"Bengaluru, Karnataka, India"
Supply Chain Analyst,The Good Glamm Group,"Delhi, India"
Data Analyst,Capco,"Bangalore Urban, Karnataka, India"
Senior Financial Analyst,Oracle,"Bengaluru, Karnataka, India"
Business Analyst,Reliance Retail,Greater Kolkata Area
Associate,PwC India,"Mumbai, Maharashtra, India"
Senior Financial Analyst,Flexi Analyst,India
Digital Strategy - IT Business Analyst - Consultant,KPMG India,"Bengaluru, Karnataka, India"
Data Analyst,adidas,"Gurgaon, Haryana, India"
Business Analyst,Reliance Retail,"Ahmedabad, Gujarat, India"
Business Analyst,Chai Point,"Bengaluru, Karnataka, India"
Associate,PwC India,"Bengaluru, Karnataka, India"
Business Analyst,Prospecta Software,"Gurugram, Haryana, India"
Senior Financial Operations Analyst,Razorpay,"Bengaluru, Karnataka, India"
Associate Business Analyst,dentsu,"Pune, Maharashtra, India"
Research Analyst,Magicbricks,"Noida, Uttar Pradesh, India"
Associate,PwC India,Greater Chennai Area
"Business Analyst, Google Play Growth",Google,"Bengaluru, Karnataka, India"
Business Management - Analyst,JPMorganChase,"Mumbai, Maharashtra, India"
Senior Business Analyst,EXL,"Gurugram, Haryana, India"
Analyst-Accounts Payable-Hyderabad,Deloitte,"Hyderabad, Telangana, India"
Business Analyst,Appinventiv,"Noida, Uttar Pradesh, India"
Analyst - Business Development - Pune,TresVista,"Pune, Maharashtra, India"
Business Analyst,SatSure,"Bengaluru, Karnataka, India"
Business Analyst,Wipro,"Bengaluru, Karnataka, India"
Data Analyst,Allica Bank,"Bengaluru, Karnataka, India"
Valuation Analyst,Citrin Cooperman India LLP,"Hyderabad, Telangana, India"
Analyst,dentsu,"Gurugram, Haryana, India"
Associate Consultant FDD UK,KPMG India,Mumbai Metropolitan Region
Financial Analyst,Wipro Digital Operations and Platforms,"Hyderabad, Telangana, India"
"Analyst, Demand Planning - Jewelry",Harry Winston,"New York, NY"
"Analyst, Category Management - Jewelry",Harry Winston,"New York, NY"
Independent Assessment & Review Analyst,SoFi,"Florida, United States"
Independent Assessment & Review Analyst,SoFi,"San Francisco, CA"
Data Analyst,Microsoft,"New Jersey, United States"
Senior Supply Chain Analyst,Keurig Dr Pepper Inc.,"Frisco, TX"
Data Analyst,Microsoft,"New York, United States"
Data Analyst,Microsoft,"California, United States"
Data Analyst,Microsoft,"Texas, United States"
Data Analyst,Microsoft,"Maryland, United States"
Data Analyst,Microsoft,"Massachusetts, United States"
Private Equity Analyst,Atlantic Group,"Philadelphia, PA"
Data Analyst,Microsoft,"Washington, United States"
Data Analyst,Microsoft,"New Hampshire, United States"
Data Reporting Analyst,Compunnel Inc.,United States
Data Analyst,Microsoft,"Georgia, United States"
Private Equity Analyst,Augment Jobs,"Austin, TX"
Investment Banking Analyst - Renewable Energy,Viridan Group,"San Francisco, CA"
Data Analyst,Microsoft,"Florida, United States"
Data Analyst,Microsoft,"North Carolina, United States"
Data Analyst,Microsoft,"Virginia, United States"
Data Analyst,Cohere Health,United States
"Data Analyst - Oklahoma City,OK",Laksan Technologies,"Oklahoma City, OK"
Data Analyst,Microsoft,"Illinois, United States"
Business Development Analyst,Nava,United States
Business Insights Analyst (Remote),The Krazy Coupon Lady,"Virginia, United States"
Mergers and Acquisitions Analyst,Daniels Health,"Chicago, IL"
Program Analyst,US Environmental Protection Agency (EPA),"Denver, CO"
Business Insights Analyst (Remote),The Krazy Coupon Lady,"Georgia, United States"
Business Insights Analyst (Remote),The Krazy Coupon Lady,"Pennsylvania, United States"
Supply Chain Analyst,Book of the Month,"New York, NY"
