Job Title,Company Name,Location,Job Link,Experience Required
Business Associate (Business Analyst),Swiggy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-associate-business-analyst-at-swiggy-3998022441?position=1&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=aUgspCAeLHfQlrPX7Q%2BstQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Mandate 3 – Employees will work full-time from their base location

About Swiggy

Swiggy is India’s leading on-demand delivery platform with a tech-first approach to logistics and a solution-first approach to consumer demands. With a presence in 500+ cities across India, partnerships with hundreds of thousands of restaurants, an employee base of over 5000, a 2 lakh+ strong independent fleet of Delivery Executives, we deliver unparalleled convenience driven by continuous innovation. Built on the back of robust ML technology and fuelled by terabytes of data processed every day, Swiggy offers a fast, seamless and reliable delivery experience for millions of customers across India."
Business Analyst,KPMG India,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/business-analyst-at-kpmg-india-4005559078?position=2&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=3MIuMYEmbmAvcbGOeMU92g%3D%3D&trk=public_jobs_jserp-result_search-card,"About KPMG India
KPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws, regulations, markets and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Jaipur, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, Vadodara and Vijayawada.
"
Data Analyst - Supply Chain [T500-13476],Delta Air Lines,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-analyst-at-kpmg-india-4005559078?position=2&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=3MIuMYEmbmAvcbGOeMU92g%3D%3D&trk=public_jobs_jserp-result_search-card,"Key Responsibilities:
Master Data Management:
Development of SCM data infrastructure including database design, inventory of data sources, oversight of master data tables, data cube maintenance, and integration with various internal / external data sources, including API Development.




"
Analyst,NAB,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/analyst-at-nab-3999022705?position=4&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=GJqOswjekUpZihEuDIHAPw%3D%3D&trk=public_jobs_jserp-result_search-card,"Loan IQ + Credit Agreement Analyst ( Banking Operations only!)

Flexible to work in night shifts
Good understanding of Loan Agency | Credit Agreement | Loan IQ
"
Business Analyst,Tech Mahindra,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/business-analyst-at-tech-mahindra-4002685135?position=5&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=cKRyNtLi0o0ca404FJUwZQ%3D%3D&trk=public_jobs_jserp-result_search-card,"About the Company
Tech Mahindra offers innovative and customer-centric digital experiences, enabling enterprises, associates and the society to Rise. We are focused on leveraging next-generation technologies including 5G, Blockchain, Cybersecurity, Artificial Intelligence, and more, to enable end-to-end digital transformation for global customers. Tech Mahindra is one of the fastest growing brands and amongst the top 15 IT service providers globally.




"
Data Analyst,Flexi Analyst,India,https://in.linkedin.com/jobs/view/data-analyst-at-flexi-analyst-3996474395?position=6&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=zhNK%2B%2F54ddRyR0%2FCGZEs%2Fw%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description
Flexi Analyst, home to the Champ Team of Business-Quality-Data & Content Analysts, is focused on building the world's largest community of Analysts. The Leadership team boasts experience from Accenture, Amazon, Flipkart, Apple, and Inmobi. We prioritize adding value to our customers above all else.



"
Business Analyst,Tata Consultancy Services,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-analyst-at-tata-consultancy-services-4000608000?position=7&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=zDDytULqm4WS5KUm7QMjmg%3D%3D&trk=public_jobs_jserp-result_search-card,"Role: Business Analyst
Experience: 5-8 years
Location: Bengaluru

Desired Competencies (Technical/Behavioral Competency/Skills)
SDLC cycle, Requirements gathering, designing, analyzing and documentation, front ending client communication,

"
Operations Analyst,Flexi Analyst,India,https://in.linkedin.com/jobs/view/operations-analyst-at-flexi-analyst-3992285834?position=8&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=76jtzJhsOSSXS4hNkDfEAQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description
Flexi Analyst is a team of Business-Quality-Data & Content Analysts focused on adding value to customers. With leadership from top companies like Accenture, Amazon, Flipkart, Apple, and Inmobi, we are building the world's largest community of Analysts. Our goal is to make life easier for our clients by providing exceptional analytical services.



"
Marketing Business Analyst,Kotak Mahindra Bank,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/marketing-business-analyst-at-kotak-mahindra-bank-4003361062?position=9&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=kMt6%2FcjT9WktsgmPR%2FxPZQ%3D%3D&trk=public_jobs_jserp-result_search-card,"About the role:
We are seeking a highly analytical and data-driven individual to join our marketing team as Business & Marketing Analyst. The ideal candidate will be responsible for extracting actionable insights from business and marketing data to inform strategic decisions, optimize marketing campaigns, and drive business growth. You will collaborate closely with the marketing, product, and sales teams to measure the effectiveness of marketing initiatives, identify new opportunities, and enhance overall marketing performance.





"
Data Analyst - Supply Chain [T500-13650],Delta Air Lines,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-supply-chain-t500-13650-at-delta-air-lines-4008292603?position=10&pageNum=0&refId=%2Fl4szm%2FpjFAed6F59JX9ig%3D%3D&trackingId=4c176mKi4tTrhwBZadsJeA%3D%3D&trk=public_jobs_jserp-result_search-card,"About Delta Tech Hub
Delta Air Lines (NYSE: DAL) is the U.S. global airline leader in safety, innovation, reliability and customer experience. Powered by our employees around the world, Delta has for a decade led the airline industry in operational excellence while maintaining our reputation for award-winning customer service. With our mission of connecting the people and cultures of the globe, Delta strives to foster understanding across a diverse world and serve as a force for social good. Delta has fast emerged as customer-oriented, innovation-led, technology-driven business. The Delta Technology Hub will contribute directly to these objectives. It will sustain our long-term aspirations of delivering niche, IP-intensive, high-value, and innovative solutions. It supports various teams and functions across Delta and is an integral part of our transformation agenda, working seamlessly with a global team to create memorable experiences for customers.



"
